contrast,pract_neg,pract_equiv,pract_pos,resistance,matching,outcome
timika_log vs all_rand,0.33,0.53,0.14,sensitive,unmatched,baseline_sputum
timika_plus_log_outcome vs timika_rand_outcome,0.01,0.16,0.83,sensitive,unmatched,treatment
timika_log vs timika_rand_outcome,0.16,0.52,0.32,sensitive,unmatched,timika outcome comparison
all_log vs timika_log,0.12,0.8,0.08,mdr,unmatched,baseline_sputum
all_log_outcome vs timika_log_outcome,0.1,0.51,0.39,mdr,unmatched,treatment
timika_log vs timika_log_outcome,0,0.01,0.99,mdr,unmatched,timika outcome comparison
